Height;Powder;Recycled;Time;Layers;Volume;Support
10.5;3308;2146;152;350;1870;0
110.5;16518;13940;1925;3683;173425;0
10.0;4083;2910;387;334;47932;0
90.5;16108;13055;2405;3016;243181;0
72.0;11879;9963;1548;2399;166066;3917
50.2;11156;9097;1123;1672;111442;41
60.0;9409;7974;732;2002;30242;3186
90.0;17727;11497;1947;2998;129666;0
60.45;7702;6938;794;2015;32894;3593
60.0;12659;9249;872;2002;38288;3587
80.0;18670;15701;2083;2669;255158;0
80.0;18228;15386;2083;2669;255158;0
41.0;7751;7220;949;1368;34919;0
26.6;3207;3235;382;887;3821;2261
27.5;6263;4209;968;917;117187;101
110.5;23772;22259;2708;3683;239714;4222
66.4;16559;13140;2401;2214;29394;0
66.5;19627;13681;2400;2215;296428;0
43.4;12805;10805;1270;1448;155202;0
115.2;15741;14291;1690;3841;44167;2605
116.1;13931;13569;1707;3871;35089;18229
10.5;3083;2638;274;350;29220;0
10.4;4874;2174;154;347;11330;0
10.4;4734;2404;153;347;11330;0
80.5;14133;11056;1413;2682;117688;0
40.0;11513;7798;669;1334;48958;803
10.5;3146;2866;159;350;14581;0
79.3;13250;11888;364;2642;161808;2607
